hotel,is_canceled,lead_time,arrival_month_year,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel
Resort Hotel,1,26,15-Jul,2015,July,27,4,2,5,2,2,0,BB,PRT,Online TA,TA/TO
Resort Hotel,1,73,15-Jul,2015,July,27,4,2,5,3,0,0,HB,PRT,Direct,Direct
Resort Hotel,1,102,15-Jul,2015,July,27,4,2,5,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,115,15-Jul,2015,July,27,4,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO
Resort Hotel,0,102,15-Jul,2015,July,27,4,2,5,2,0,1,BB,PRT,Online TA,TA/TO
Resort Hotel,0,86,15-Jul,2015,July,27,4,2,5,2,0,0,BB,CHE,Online TA,TA/TO
Resort Hotel,0,78,15-Jul,2015,July,27,4,2,5,2,0,1,HB,PRT,Online TA,TA/TO
Resort Hotel,0,52,15-Jul,2015,July,27,4,2,5,2,0,0,BB,GBR,Online TA,TA/TO
Resort Hotel,0,29,15-Jul,2015,July,27,4,2,6,3,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,1,101,15-Jul,2015,July,27,4,2,6,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,109,15-Jul,2015,July,27,4,2,6,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,92,15-Jul,2015,July,27,4,4,6,2,0,0,BB,GBR,Offline TA/TO,TA/TO
Resort Hotel,0,92,15-Jul,2015,July,27,4,4,6,2,0,0,BB,PRT,Offline TA/TO,TA/TO
Resort Hotel,0,79,15-Jul,2015,July,27,4,4,6,2,1,0,HB,PRT,Direct,Direct
Resort Hotel,0,2,15-Jul,2015,July,27,4,0,1,2,2,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,30,15-Jul,2015,July,27,4,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO
Resort Hotel,1,51,15-Jul,2015,July,27,4,0,1,1,0,0,HB,PRT,Online TA,TA/TO
Resort Hotel,1,36,15-Jul,2015,July,27,4,0,1,1,0,0,BB,PRT,Direct,Direct
Resort Hotel,1,73,15-Jul,2015,July,27,4,0,1,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,1,33,15-Jul,2015,July,27,4,0,1,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,32,15-Jul,2015,July,27,4,0,1,4,0,0,FB,PRT,Complementary,Direct
Resort Hotel,0,8,15-Jul,2015,July,27,4,0,1,2,0,0,BB,ESP,Online TA,TA/TO
Resort Hotel,0,100,15-Jul,2015,July,27,4,1,1,2,0,0,BB,FRA,Online TA,TA/TO
Resort Hotel,0,1,15-Jul,2015,July,27,4,1,1,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,100,15-Jul,2015,July,27,4,1,1,2,0,0,BB,FRA,Online TA,TA/TO
Resort Hotel,0,100,15-Jul,2015,July,27,4,1,1,2,0,0,BB,FRA,Online TA,TA/TO
Resort Hotel,0,9,15-Jul,2015,July,28,5,1,0,2,0,0,BB,ESP,Online TA,TA/TO
Resort Hotel,1,5,15-Jul,2015,July,28,5,1,0,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,0,15-Jul,2015,July,28,5,1,0,2,0,0,BB,ESP,Online TA,TA/TO
Resort Hotel,0,9,15-Jul,2015,July,28,5,1,0,1,0,0,BB,DEU,Online TA,TA/TO
Resort Hotel,0,2,15-Jul,2015,July,28,5,1,0,1,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,2,15-Jul,2015,July,28,5,1,0,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,9,15-Jul,2015,July,28,5,1,0,1,0,0,BB,DEU,Online TA,TA/TO
Resort Hotel,1,5,15-Jul,2015,July,28,5,1,0,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,2,15-Jul,2015,July,28,5,1,0,2,0,0,BB,PRT,Direct,Direct
Resort Hotel,0,44,15-Jul,2015,July,28,5,2,0,3,0,0,HB,PRT,Online TA,TA/TO
Resort Hotel,0,80,15-Jul,2015,July,28,5,2,0,2,0,0,BB,FRA,Online TA,TA/TO
Resort Hotel,0,97,15-Jul,2015,July,28,5,2,2,2,0,0,BB,ESP,Online TA,TA/TO
Resort Hotel,0,109,15-Jul,2015,July,28,5,2,3,2,1,0,BB,CN,Offline TA/TO,TA/TO
Resort Hotel,0,30,15-Jul,2015,July,28,5,2,3,2,0,0,BB,ESP,Online TA,TA/TO
Resort Hotel,0,64,15-Jul,2015,July,28,5,2,3,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,39,15-Jul,2015,July,28,5,2,4,2,0,0,BB,ESP,Online TA,TA/TO
Resort Hotel,0,90,15-Jul,2015,July,28,5,2,4,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,1,34,15-Jul,2015,July,28,5,2,4,2,2,0,BB,PRT,Online TA,TA/TO
Resort Hotel,1,93,15-Jul,2015,July,28,5,2,5,2,0,0,HB,PRT,Offline TA/TO,TA/TO
Resort Hotel,0,97,15-Jul,2015,July,28,5,2,5,2,2,0,HB,PRT,Direct,Direct
Resort Hotel,0,29,15-Jul,2015,July,28,5,2,5,2,0,0,BB,IRL,Online TA,TA/TO
Resort Hotel,1,101,15-Jul,2015,July,28,5,2,5,2,0,0,HB,PRT,Online TA,TA/TO
Resort Hotel,0,27,15-Jul,2015,July,28,5,2,5,2,0,0,BB,ESP,Offline TA/TO,TA/TO
Resort Hotel,0,8,15-Jul,2015,July,28,5,4,5,2,2,0,BB,CHE,Online TA,TA/TO
Resort Hotel,0,82,15-Jul,2015,July,28,5,4,6,2,0,0,BB,PRT,Offline TA/TO,TA/TO
Resort Hotel,0,94,15-Jul,2015,July,28,5,4,6,3,0,0,BB,PRT,Direct,Direct
Resort Hotel,0,110,15-Jul,2015,July,28,5,4,7,2,0,0,BB,GBR,Offline TA/TO,TA/TO
Resort Hotel,0,96,15-Jul,2015,July,28,5,4,10,1,0,0,HB,GBR,Offline TA/TO,TA/TO
Resort Hotel,0,79,15-Jul,2015,July,28,5,4,10,2,0,0,HB,GBR,Offline TA/TO,TA/TO
Resort Hotel,0,115,15-Jul,2015,July,28,6,1,4,2,2,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,111,15-Jul,2015,July,28,6,1,3,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,51,15-Jul,2015,July,28,6,1,3,2,0,0,BB,USA,Online TA,TA/TO
Resort Hotel,0,94,15-Jul,2015,July,28,6,1,3,3,0,0,BB,CN,Offline TA/TO,TA/TO
Resort Hotel,0,81,15-Jul,2015,July,28,6,1,3,2,2,0,HB,CHE,Direct,Direct
Resort Hotel,0,84,15-Jul,2015,July,28,6,1,3,2,0,1,BB,PRT,Online TA,TA/TO
Resort Hotel,0,51,15-Jul,2015,July,28,6,1,3,3,0,0,BB,USA,Online TA,TA/TO
Resort Hotel,0,111,15-Jul,2015,July,28,6,0,0,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,0,15-Jul,2015,July,28,6,0,0,1,0,0,BB,PRT,Direct,Direct
Resort Hotel,0,2,15-Jul,2015,July,28,6,1,0,2,1,0,BB,PRT,Direct,Direct
Resort Hotel,0,7,15-Jul,2015,July,28,6,1,1,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,98,15-Jul,2015,July,28,6,1,1,2,0,0,BB,USA,Online TA,TA/TO
Resort Hotel,0,95,15-Jul,2015,July,28,6,1,2,2,0,0,BB,GRC,Online TA,TA/TO
Resort Hotel,1,48,15-Jul,2015,July,28,6,1,3,2,0,0,HB,PRT,Online TA,TA/TO
Resort Hotel,0,66,15-Jul,2015,July,28,6,1,3,2,0,0,HB,PRT,Offline TA/TO,TA/TO
Resort Hotel,0,104,15-Jul,2015,July,28,6,1,3,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,28,15-Jul,2015,July,28,6,1,4,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,34,15-Jul,2015,July,28,6,1,4,2,0,0,HB,PRT,Direct,Direct
Resort Hotel,0,98,15-Jul,2015,July,28,6,1,5,2,0,0,HB,ESP,Online TA,TA/TO
Resort Hotel,0,104,15-Jul,2015,July,28,6,1,5,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,68,15-Jul,2015,July,28,6,2,5,2,2,0,HB,PRT,Online TA,TA/TO
Resort Hotel,1,86,15-Jul,2015,July,28,6,2,5,1,0,0,HB,PRT,Offline TA/TO,TA/TO
Resort Hotel,0,258,15-Jul,2015,July,28,6,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO
Resort Hotel,0,111,15-Jul,2015,July,28,6,3,5,2,0,0,HB,PRT,Online TA,TA/TO
Resort Hotel,1,94,15-Jul,2015,July,28,6,3,7,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,112,15-Jul,2015,July,28,6,3,7,2,0,0,BB,GBR,Offline TA/TO,TA/TO
Resort Hotel,0,100,15-Jul,2015,July,28,6,3,7,2,0,0,BB,GBR,Offline TA/TO,TA/TO
Resort Hotel,0,33,15-Jul,2015,July,28,6,3,7,2,0,0,HB,PRT,Direct,Direct
Resort Hotel,0,97,15-Jul,2015,July,28,6,3,7,2,0,0,HB,GBR,Offline TA/TO,TA/TO
Resort Hotel,0,80,15-Jul,2015,July,28,6,3,8,1,0,0,BB,FRA,Direct,Direct
Resort Hotel,0,90,15-Jul,2015,July,28,6,4,10,2,0,0,BB,ITA,Offline TA/TO,TA/TO
Resort Hotel,0,111,15-Jul,2015,July,28,6,4,10,2,0,0,BB,GBR,Offline TA/TO,TA/TO
Resort Hotel,0,65,15-Jul,2015,July,28,6,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO
Resort Hotel,1,67,15-Jul,2015,July,28,7,0,2,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,55,15-Jul,2015,July,28,7,0,3,2,0,0,BB,ESP,Online TA,TA/TO
Resort Hotel,0,21,15-Jul,2015,July,28,7,0,3,2,1,0,HB,PRT,Direct,Direct
Resort Hotel,0,8,15-Jul,2015,July,28,7,0,0,2,0,0,BB,PRT,Direct,Direct
Resort Hotel,0,8,15-Jul,2015,July,28,7,0,0,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,0,15-Jul,2015,July,28,7,0,1,1,0,0,BB,GBR,Online TA,TA/TO
Resort Hotel,0,0,15-Jul,2015,July,28,7,0,1,3,0,0,HB,PRT,Direct,Direct
Resort Hotel,0,0,15-Jul,2015,July,28,7,0,1,1,0,0,BB,GBR,Online TA,TA/TO
Resort Hotel,0,8,15-Jul,2015,July,28,7,0,4,3,2,0,BB,ESP,Online TA,TA/TO
Resort Hotel,0,66,15-Jul,2015,July,28,7,0,4,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,88,15-Jul,2015,July,28,7,0,4,3,0,0,HB,USA,Offline TA/TO,TA/TO
Resort Hotel,0,0,15-Jul,2015,July,28,7,0,4,2,0,0,BB,NLD,Direct,Direct
Resort Hotel,1,43,15-Jul,2015,July,28,7,0,5,2,0,0,HB,PRT,Offline TA/TO,TA/TO
Resort Hotel,1,88,15-Jul,2015,July,28,7,2,5,2,0,0,HB,PRT,Online TA,TA/TO
Resort Hotel,0,54,15-Jul,2015,July,28,7,2,5,2,0,0,BB,IRL,Offline TA/TO,TA/TO
Resort Hotel,1,292,15-Jul,2015,July,28,7,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO
Resort Hotel,0,112,15-Jul,2015,July,28,7,4,10,2,0,0,HB,IRL,Offline TA/TO,TA/TO
Resort Hotel,0,68,15-Jul,2015,July,28,8,0,3,2,0,0,BB,GBR,Online TA,TA/TO
Resort Hotel,0,7,15-Jul,2015,July,28,8,0,4,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,1,15-Jul,2015,July,28,8,0,4,2,0,0,BB,ESP,Online TA,TA/TO
Resort Hotel,1,113,15-Jul,2015,July,28,8,0,4,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,5,15-Jul,2015,July,28,8,0,4,2,0,0,BB,ESP,Online TA,TA/TO
Resort Hotel,0,83,15-Jul,2015,July,28,8,0,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO
Resort Hotel,1,105,15-Jul,2015,July,28,8,0,4,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,0,15-Jul,2015,July,28,8,0,1,1,0,0,BB,PRT,Offline TA/TO,TA/TO
Resort Hotel,1,1,15-Jul,2015,July,28,8,0,1,2,0,0,BB,PRT,Corporate,Corporate
Resort Hotel,1,1,15-Jul,2015,July,28,8,0,1,2,0,0,BB,PRT,Corporate,Corporate
Resort Hotel,0,1,15-Jul,2015,July,28,8,0,2,2,0,0,BB,CHE,Corporate,Corporate
Resort Hotel,1,102,15-Jul,2015,July,28,8,1,4,2,0,0,BB,PRT,Direct,Direct
Resort Hotel,0,113,15-Jul,2015,July,28,8,2,4,2,0,0,BB,PRT,Direct,Direct
Resort Hotel,1,280,15-Jul,2015,July,28,8,2,5,2,1,0,HB,PRT,Offline TA/TO,TA/TO
Resort Hotel,0,96,15-Jul,2015,July,28,8,2,5,2,0,0,BB,GBR,Online TA,TA/TO
Resort Hotel,0,394,15-Jul,2015,July,28,8,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO
Resort Hotel,0,33,15-Jul,2015,July,28,8,2,5,2,0,0,HB,PRT,Online TA,TA/TO
Resort Hotel,0,82,15-Jul,2015,July,28,8,2,6,3,0,0,BB,IRL,Direct,Direct
Resort Hotel,0,100,15-Jul,2015,July,28,8,2,7,3,0,0,BB,DNK,Online TA,TA/TO
Resort Hotel,0,100,15-Jul,2015,July,28,8,2,7,2,0,0,BB,DNK,Online TA,TA/TO
Resort Hotel,0,17,15-Jul,2015,July,28,9,0,1,2,2,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,68,15-Jul,2015,July,28,9,0,2,3,0,0,BB,ARG,Direct,Direct
Resort Hotel,0,12,15-Jul,2015,July,28,9,0,2,2,2,0,BB,PRT,Direct,Direct
Resort Hotel,1,77,15-Jul,2015,July,28,9,0,3,2,0,0,BB,PRT,Direct,Direct
Resort Hotel,1,24,15-Jul,2015,July,28,9,0,3,2,2,0,BB,PRT,Online TA,TA/TO
Resort Hotel,1,44,15-Jul,2015,July,28,9,0,3,2,2,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,78,15-Jul,2015,July,28,9,0,3,2,0,1,BB,PRT,Online TA,TA/TO
Resort Hotel,1,17,15-Jul,2015,July,28,9,1,3,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,1,103,15-Jul,2015,July,28,9,1,3,2,0,0,BB,PRT,Online TA,TA/TO
Resort Hotel,0,16,15-Jul,2015,July,28,9,1,3,1,0,0,BB,RUS,Direct,Direct
Resort Hotel,0,14,15-Jul,2015,July,28,9,2,3,2,0,0,BB,SWE,Online TA,TA/TO
Resort Hotel,0,77,15-Jul,2015,July,28,9,2,3,2,0,0,BB,POL,Offline TA/TO,TA/TO
Resort Hotel,0,90,15-Jul,2015,July,28,9,2,5,2,0,0,BB,FRA,Offline TA/TO,TA/TO
Resort Hotel,0,90,15-Jul,2015,July,28,9,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO
Resort Hotel,0,90,15-Jul,2015,July,28,9,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO
Resort Hotel,0,366,15-Jul,2015,July,28,9,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO
Resort Hotel,0,249,15-Jul,2015,July,28,9,2,5,2,0,0,HB,PRT,Online TA,TA/TO
Resort Hotel,1,69,15-Jul,2015,July,28,9,2,6,2,0,0,HB,PRT,Online TA,TA/TO
